Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
035;2/9/2020 11:00:00 AM;1;2,2;6;10,1;76;5;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
035;2/9/2020 11:00:00 AM;4;1,8;Sin medicion;10,4;Sin medicion;4,8;1;2;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
035;2/9/2020 2:39:20 PM;1;2;6;9,5;76;5;10;2,3;2,9;2,9;4,5;30;30;31
035;2/9/2020 2:39:20 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,5;0,95;1,9;2,9;2,9;4,5;30;30;31
036;2/10/2020 6:30:00 AM;1;2;4;9,4;74;5;9,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
036;2/10/2020 6:30:00 AM;4;1,6;Sin medicion;9,5;Sin medicion;4,6;0,9;1,8;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
036;2/10/2020 11:00:00 AM;1;2,1;7;10,1;77;5;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
036;2/10/2020 11:00:00 AM;4;1,8;Sin medicion;10,3;Sin medicion;4,8;0,98;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 12:00:00 AM;1;2;6;10;78;5;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 12:00:00 AM;4;1,6;Sin medicion;10;Sin medicion;4,7;0,95;0,17;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 7:00:00 AM;1;2,1;5;9,8;75;5;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 7:00:00 AM;4;1,7;Sin medicion;10,2;Sin medicion;4,7;0,97;1,8;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 11:00:00 AM;1;2,2;8;10,2;78;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 11:00:00 AM;4;1,8;Sin medicion;10,4;Sin medicion;4,8;1;1,9;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 2:46:56 PM;1;2;6;9,5;76;4,8;10,2;2,2;2,9;2,9;Sin medicion;30;30;Sin medicion
037;2/11/2020 2:46:56 PM;4;1,8;Sin medicion;9,5;Sin medicion;4,5;9,7;1,6;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;31
037;2/11/2020 10:20:00 PM;1;2,1;5;10;75;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
037;2/11/2020 10:20:00 PM;4;1,6;Sin medicion;10,1;Sin medicion;4,6;0,96;1,8;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
038;2/12/2020 3:00:00 AM;1;2;4;9,8;74;5;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
038;2/12/2020 3:00:00 AM;4;1,6;Sin medicion;10;Sin medicion;4,6;0,96;1,8;Sin medicion;Sin medicion;4,3;Sin medicion;Sin medicion;Sin medicion
038;2/12/2020 7:22:29 AM;1;2;5;9,5;76;4,5;10;2,3;2,9;2,9;Sin medicion;30;30;Sin medicion
038;2/12/2020 7:22:29 AM;4;1,6;Sin medicion;9,8;Sin medicion;4,7;0,92;1,5;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;31
038;2/12/2020 10:41:20 AM;1;2;7;9,8;78;4,5;10,2;2,3;2,9;2,9;Sin medicion;30;30;Sin medicion
038;2/12/2020 10:41:20 AM;4;1,8;Sin medicion;9,4;Sin medicion;4,2;9,5;1,7;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;31
038;2/12/2020 10:20:00 PM;1;2,1;5;10,1;75;5;10,5;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
038;2/12/2020 10:20:00 PM;4;1,6;Sin medicion;10;Sin medicion;4,6;0,95;1,8;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;Sin medicion
040;2/14/2020 3:06:11 AM;1;2;5;9,8;74;4,5;1,02;2,3;2,9;2,9;Sin medicion;30;30;Sin medicion
040;2/14/2020 3:06:11 AM;4;1,6;Sin medicion;10;Sin medicion;4,9;0,98;1,9;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;31
040;2/14/2020 8:00:00 PM;1;2;7;10;78;5;0,11;2,03;3;39;Sin medicion;20,5;Sin medicion;Sin medicion
040;2/14/2020 8:00:00 PM;4;2,2;Sin medicion;10,1;Sin medicion;5;1,01;2,2;Sin medicion;Sin medicion;4,5;Sin medicion;Sin medicion;Sin medicion
041;2/22/2020 7:00:00 PM;1;2;7;80;79;5;0,11;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
041;2/22/2020 7:00:00 PM;4;2;Sin medicion;10,2;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
042;2/16/2020 7:00:00 AM;1;2;5;6;86;5,5;10,5;2,1;2,9;2,9;Sin medicion;31;31;Sin medicion
042;2/16/2020 7:00:00 AM;4;1,8;Sin medicion;9,8;Sin medicion;4,5;9,5;Sin medicion;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;34
042;2/16/2020 12:00:00 PM;1;2;6;10;88;5;10,5;2,1;2,9;2,9;Sin medicion;31;31;Sin medicion
042;2/16/2020 12:00:00 PM;4;1,8;Sin medicion;10,4;Sin medicion;4,9;10,2;Sin medicion;Sin medicion;Sin medicion;4,4;Sin medicion;Sin medicion;34
042;2/16/2020 6:00:00 PM;1;2;7;10;80;5;0,11;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
042;2/16/2020 6:00:00 PM;4;1,7;Sin medicion;1,2;Sin medicion;5;1;1,7;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
043;2/16/2020 7:50:00 PM;1;2;7;9;80;5;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
043;2/16/2020 7:50:00 PM;4;2,5;Sin medicion;10,2;Sin medicion;5,3;1;0,25;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
043;2/17/2020 12:00:00 PM;1;2;7;10;88;5;10,4;2,1;2,9;2,9;Sin medicion;31;31;Sin medicion
043;2/17/2020 12:00:00 PM;4;2,8;Sin medicion;10,4;Sin medicion;5,6;10,1;Sin medicion;Sin medicion;Sin medicion;2,9;Sin medicion;Sin medicion;34
044;2/18/2020 7:00:00 AM;1;1,8;7;9,8;78;5;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
044;2/18/2020 7:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5,5;0,95;0,28;Sin medicion;Sin medicion;3,1;25;Sin medicion;Sin medicion
044;2/18/2020 3:01:32 PM;1;2;78;9,8;7;4,5;1,2;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
044;2/18/2020 3:01:32 PM;4;2,1;Sin medicion;10;Sin medicion;5,2;0,98;0,25;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;31
045;2/19/2020 2:34:51 AM;1;2;6;10;78;4,5;1,2;0,2;2,9;2,9;Sin medicion;30;30;Sin medicion
045;2/19/2020 2:34:51 AM;4;1,9;Sin medicion;10;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
045;2/19/2020 7:00:00 AM;1;2;Sin medicion;10;Sin medicion;5;1;2,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
045;2/19/2020 7:00:00 AM;1;2,1;75;10;79;5;1;2;30;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
046;2/20/2020 4:00:00 AM;1;2;7;10;79;5;1,01;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
046;2/20/2020 4:00:00 AM;4;1,98;Sin medicion;9,8;Sin medicion;5;1,01;2;Sin medicion;Sin medicion;3,1;Sin medicion;Sin medicion;Sin medicion
046;2/20/2020 7:10:57 AM;1;2;7;10;78;4,5;1,6;0,2;2,9;2,9;Sin medicion;30;30;Sin medicion
046;2/20/2020 7:10:57 AM;4;2,3;Sin medicion;10,1;Sin medicion;5,1;0,95;0,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;31
046;2/20/2020 11:23:59 AM;1;2;7;10,2;78;4,6;1,2;0,2;2,9;2,9;Sin medicion;30;30;Sin medicion
046;2/20/2020 11:23:59 AM;4;2,1;Sin medicion;10;Sin medicion;5,2;0,98;0,23;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;31
046;2/20/2020 2:00:00 PM;1;2;6;10;88;5;10,3;2,1;2,9;2,9;Sin medicion;31;31;Sin medicion
046;2/20/2020 2:00:00 PM;4;2,2;Sin medicion;10,2;Sin medicion;5,2;10;Sin medicion;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;34
046;2/20/2020 9:00:00 PM;1;2;6;10;88;5;10,3;2,1;2,9;2,9;Sin medicion;31;31;Sin medicion
046;2/20/2020 9:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;9,5;Sin medicion;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;34
047;2/21/2020 5:00:00 AM;1;2,2;7;10,1;76;5;10,3;2,1;35;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
047;2/21/2020 5:00:00 AM;4;2,3;Sin medicion;10;Sin medicion;5;0,95;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
047;2/21/2020 6:42:25 AM;1;2;6;10;78;4,5;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
047;2/21/2020 6:42:25 AM;4;2,2;Sin medicion;10,2;Sin medicion;5,2;1;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;31
047;2/21/2020 10:38:30 AM;1;2;7;10;78;4,5;1,2;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
047;2/21/2020 10:38:30 AM;4;1,9;Sin medicion;10,2;Sin medicion;5,2;0,98;2,1;Sin medicion;Sin medicion;3,1;Sin medicion;Sin medicion;31
048;2/22/2020 10:50:06 PM;1;2;6;10;74;4,5;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
048;2/22/2020 10:50:06 PM;4;1,8;Sin medicion;10,2;Sin medicion;5,3;1;0,23;Sin medicion;Sin medicion;3,1;Sin medicion;Sin medicion;31
049;2/23/2020 8:00:00 PM;1;1,8;8;9;80;5;0,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
049;2/23/2020 8:00:00 PM;4;2;Sin medicion;9,8;Sin medicion;5;1;2,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
049;2/24/2020 2:00:13 AM;1;2;6;9,5;74;4,5;1,1;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
049;2/24/2020 2:00:13 AM;4;2,1;Sin medicion;10;Sin medicion;5,2;1,1;0,22;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
050;2/24/2020 5:50:00 PM;1;2,1;8;9,7;79;5;1,01;2,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
050;2/24/2020 5:50:00 PM;2;1,8;Sin medicion;9,7;Sin medicion;5;0,99;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
050;2/24/2020 11:04:50 PM;1;2;6;10;74;4,8;1,1;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
050;2/24/2020 11:04:50 PM;4;1,8;Sin medicion;9,5;Sin medicion;5,2;0,95;0,21;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
051;2/25/2020 8:00:00 PM;1;1,9;8;9,8;10;5;1,01;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
051;2/25/2020 8:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;1;2,1;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
051;2/26/2020 1:00:00 PM;1;2;7;9,9;79;4,8;1;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
051;2/26/2020 1:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;1;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
051;2/26/2020 2:00:00 PM;1;2;6;10;88;4,8;10,3;2,1;2,9;2,1;Sin medicion;32;32;Sin medicion
051;2/26/2020 2:00:00 PM;4;2,5;Sin medicion;10,5;Sin medicion;5,5;10,1;Sin medicion;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;36
052;2/27/2020 9:00:00 AM;1;1,8;5;10;78;5,5;1;2,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
052;2/27/2020 9:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5,5;0,99;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
053;2/21/2020 7:00:00 AM;1;2;6;10;88;5;10,3;21;2,9;2,1;Sin medicion;32;32;Sin medicion
053;2/21/2020 7:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5;9,5;Sin medicion;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;34
053;2/28/2020 4:40:00 AM;1;2,3;8;10,1;79;5;1,02;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
053;2/28/2020 4:40:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
053;2/28/2020 12:00:00 PM;1;2;8;10;88;5;10,3;2,1;20,5;2,9;Sin medicion;33;33;Sin medicion
053;2/28/2020 12:00:00 PM;4;2,4;Sin medicion;10,8;Sin medicion;5,4;10,2;Sin medicion;Sin medicion;Sin medicion;2,9;Sin medicion;Sin medicion;34
054;2/29/2020 2:50:00 AM;1;2,1;8;10;77;5;1,03;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
054;2/29/2020 2:50:00 AM;4;2,2;Sin medicion;10;Sin medicion;5;1;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
055;3/1/2020 4:00:00 AM;1;2,1;7;10;76;5;1;0,22;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
055;3/1/2020 4:00:00 AM;4;2,3;Sin medicion;10,1;Sin medicion;5;0,99;2,1;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
055;3/1/2020 7:53:56 AM;1;1,9;7;9,5;76;4,8;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
055;3/1/2020 7:53:56 AM;4;2,2;Sin medicion;9,9;Sin medicion;5,3;0,94;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
055;3/1/2020 11:33:16 AM;1;2,1;7;9,8;78;4,6;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
055;3/1/2020 11:33:16 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
056;2/24/2020 12:00:00 PM;1;2;6;10;88;5;1,03;0,21;2,9;2,9;Sin medicion;33;33;Sin medicion
056;2/24/2020 12:00:00 PM;4;2,2;Sin medicion;10,5;Sin medicion;5,2;1;Sin medicion;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;34
056;3/2/2020 4:15:37 AM;1;2,1;6;10;74;4,6;1,2;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
056;3/2/2020 4:15:37 AM;4;2,2;Sin medicion;11;Sin medicion;5,2;0,95;0,2;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
056;3/2/2020 7:00:00 AM;1;2;6;10;88;4,8;1,03;0,21;2,9;2,9;Sin medicion;33;33;Sin medicion
056;3/2/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5,2;0,95;Sin medicion;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;34
056;3/3/2020 3:00:00 AM;4;2;Sin medicion;10,5;Sin medicion;5,2;0,98;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
057;3/3/2020 5:00:00 PM;1;2;7;9,8;78;5;1,02;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
057;3/3/2020 5:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 8:00:00 AM;1;2,3;8;10;79;5;0,99;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 8:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1,01;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 2:30:00 PM;1;2,2;8;10,6;78;5,2;11,1;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 2:30:00 PM;4;2,1;Sin medicion;1,08;Sin medicion;5;1,03;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 7:00:00 PM;1;2,1;8;10,5;78;5;11;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
058;3/4/2020 7:00:00 PM;4;2,1;Sin medicion;1,05;Sin medicion;5;1;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
059;3/5/2020 6:30:00 AM;1;2;4;9,6;74;5;10,1;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
059;3/5/2020 6:30:00 AM;4;2;Sin medicion;0,95;Sin medicion;5;0,9;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
059;3/5/2020 12:00:00 PM;2;2;8;1,1;78;5;1,06;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
059;3/5/2020 12:00:00 PM;4;2,1;Sin medicion;1,06;Sin medicion;5;1,02;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
059;3/5/2020 2:49:25 PM;2;2,1;6;10,2;74;5;1,2;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
059;3/5/2020 2:49:25 PM;4;2,1;Sin medicion;10,5;Sin medicion;5,2;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
060;3/6/2020 12:30:00 AM;1;2;8;11;80;5;1,05;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 12:30:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 7:30:00 AM;2;1,8;5;10,8;Sin medicion;5;10,4;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 7:30:00 AM;4;2;Sin medicion;0,98;Sin medicion;5;0,94;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 11:00:00 AM;2;2;6;10,9;Sin medicion;5;10,4;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 11:00:00 AM;4;2;Sin medicion;1;Sin medicion;5;0,95;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 3:16:08 PM;2;1,9;Sin medicion;10;Sin medicion;4,6;1,2;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
060;3/6/2020 3:16:08 PM;4;1,9;Sin medicion;10,2;Sin medicion;5,2;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
060;3/6/2020 10:30:00 PM;2;2;6;10,6;Sin medicion;5;10,2;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
060;3/6/2020 10:30:00 PM;4;2;Sin medicion;0,98;Sin medicion;5;0,94;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
061;3/7/2020 7:23:46 AM;1;2;5;10;78;5,2;1,6;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
061;3/7/2020 7:23:46 AM;4;2;Sin medicion;9,9;Sin medicion;4,9;0,94;0,18;Sin medicion;Sin medicion;0,29;Sin medicion;Sin medicion;31
061;3/7/2020 10:30:00 PM;1;2;6;10,2;76;5;10,6;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
061;3/7/2020 10:30:00 PM;4;1,9;Sin medicion;1;Sin medicion;5;0,95;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
061;3/8/2020 3:00:00 AM;1;2;5;10;75;5;10,4;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
061;3/8/2020 3:00:00 AM;4;1,8;Sin medicion;0,97;Sin medicion;4,8;0,93;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
062;3/8/2020 11:00:00 PM;1;2,2;5;10,2;75;5,2;11;2,2;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
062;3/8/2020 11:00:00 PM;4;1,8;Sin medicion;1;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
062;3/9/2020 3:00:00 AM;1;2;4;10;74;5,1;10,7;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
062;3/9/2020 3:00:00 AM;4;1,8;Sin medicion;0,97;Sin medicion;4,8;0,93;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
063;3/9/2020 10:36:22 PM;1;1,8;6;10;78;5,2;1,2;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
063;3/9/2020 10:36:22 PM;4;2;Sin medicion;11;Sin medicion;5;1;0,18;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
064;3/10/2020 11:03:09 PM;1;1,9;7;10,2;74;4,5;1,3;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
064;3/10/2020 11:03:09 PM;4;1,8;Sin medicion;10,8;Sin medicion;5;0,98;0,16;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
064;3/11/2020 6:54:27 AM;1;2;6;10;80;5;1,08;0,21;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
064;3/11/2020 6:54:27 AM;4;3;Sin medicion;11;Sin medicion;6;1,02;0,3;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;Sin medicion
065;3/11/2020 7:00:00 PM;1;2;6;10,2;76;5;10,6;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
065;3/11/2020 7:00:00 PM;4;2,2;Sin medicion;1,05;Sin medicion;5,2;1;2,4;Sin medicion;Sin medicion;3,8;Sin medicion;Sin medicion;Sin medicion
065;3/12/2020 10:00:00 AM;1;2,1;7;10,2;81;6;1,01;2,3;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
065;3/12/2020 10:00:00 AM;4;3;Sin medicion;11;Sin medicion;6;1,05;3;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
065;3/12/2020 2:30:00 PM;1;2;7;10,4;78;5,2;10,8;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
065;3/12/2020 2:30:00 PM;4;2,2;Sin medicion;1,08;Sin medicion;5,3;1,03;2,4;Sin medicion;Sin medicion;3,8;Sin medicion;Sin medicion;Sin medicion
066;3/13/2020 6:30:00 AM;1;1,8;4;10;74;5;10,4;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
066;3/13/2020 6:30:00 AM;4;2,3;Sin medicion;1,05;Sin medicion;5,4;1;2,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
066;3/13/2020 11:00:00 AM;1;2,1;7;10,6;78;5,2;11;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
066;3/13/2020 11:00:00 AM;4;2,5;Sin medicion;1,1;Sin medicion;5,6;1,05;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 2:00:00 AM;1;2,1;7;10;79;5,2;1,1;2;35;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 2:00:00 AM;4;3;Sin medicion;10,1;Sin medicion;5;1,01;3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 2:35:18 AM;1;2;6;10,2;78;4,5;1,2;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
067;3/14/2020 2:35:18 AM;4;1,8;Sin medicion;11;Sin medicion;5;0,98;0,18;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
067;3/14/2020 6:30:00 AM;1;2;5;10,4;75;5,2;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 6:30:00 AM;4;2,8;Sin medicion;10,8;Sin medicion;5,7;1,03;2,9;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 11:30:00 AM;1;2,1;7;10,4;78;5,2;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 11:30:00 AM;4;2,7;Sin medicion;11;Sin medicion;5,8;1,05;2,9;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 11:00:00 PM;1;2;6;10,2;76;5;10,6;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
067;3/14/2020 11:00:00 PM;4;2,5;Sin medicion;10,6;Sin medicion;5,4;1,02;2,7;Sin medicion;Sin medicion;3,1;Sin medicion;Sin medicion;Sin medicion
068;3/15/2020 3:00:00 AM;1;2;4;10,1;74;5;10,5;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
068;3/15/2020 3:00:00 AM;4;2,8;Sin medicion;1,08;Sin medicion;5,7;1,04;3;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
068;3/15/2020 6:37:32 AM;1;1,9;5;9,8;80;4,8;1,4;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
068;3/15/2020 6:37:32 AM;4;3,6;Sin medicion;10,3;Sin medicion;5,8;0,98;0,32;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
068;3/15/2020 10:30:00 PM;1;2,1;6;10,2;76;5,2;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
068;3/15/2020 10:30:00 PM;4;2,7;Sin medicion;1,08;Sin medicion;5,6;1,03;3;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
069;3/16/2020 4:30:00 AM;1;2;5;10;75;5,1;10,4;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
