Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
163;7/30/2020 10:30:00 AM;4;1,8;Sin medicion;10;Sin medicion;5;0,96;0,5;Sin medicion;Sin medicion;0,45;Sin medicion;Sin medicion;Sin medicion
163;7/30/2020 6:34:22 PM;2;2,4;7;10,2;64;5,1;1,6;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
163;7/30/2020 6:34:22 PM;4;1,8;Sin medicion;10;Sin medicion;4,9;1;0,21;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
163;7/31/2020 12:02:34 AM;2;2,3;6;10,3;62;5,2;1,4;0,23;0,3;0,3;Sin medicion;30;30;Sin medicion
163;7/31/2020 12:02:34 AM;4;1,9;Sin medicion;9,8;Sin medicion;4,8;0,99;0,22;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
163;7/31/2020 7:00:00 AM;2;2,8;7;10;60;5,3;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
163;7/31/2020 7:00:00 AM;4;1,9;Sin medicion;10;Sin medicion;5,2;0,96;0,5;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
164;8/1/2020 11:57:27 AM;2;2,4;6;10,2;64;5,1;1,2;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
164;8/1/2020 11:57:27 AM;4;2,1;Sin medicion;10,3;Sin medicion;5;0,98;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
164;8/2/2020 6:30:00 AM;1;2,6;5;9,8;59;5,2;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
164;8/2/2020 6:30:00 AM;4;2;Sin medicion;0,97;Sin medicion;4,9;0,92;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
164;8/2/2020 1:15:00 PM;2;2,6;8;10;62;5,2;10,2;2,5;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
164;8/2/2020 1:15:00 PM;4;2;Sin medicion;10,5;Sin medicion;5;0,98;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
164;8/3/2020 7:00:00 AM;2;2,5;8;10;61;5,2;1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
164;8/3/2020 7:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
164;8/3/2020 1:00:00 PM;2;2,6;8;10;61;5,3;10,2;2,5;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
164;8/3/2020 1:00:00 PM;4;1,9;Sin medicion;10,3;Sin medicion;4,8;0,97;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
164;8/3/2020 7:49:29 PM;2;2,4;6;10,1;62;5,3;1,2;0,21;0,3;0,3;Sin medicion;30;30;Sin medicion
164;8/3/2020 7:49:29 PM;4;1,9;Sin medicion;10;Sin medicion;5;0,98;0,23;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
